genre,color,top,left,font_size,run_date
deep southern trap,"rgb(164, 138, 5)",5432px,1086px,101%,20211202
malaysian metal,"rgb(218, 87, 77)",6923px,304px,100%,20211202
rap underground mexicano,"rgb(175, 126, 7)",7601px,1095px,102%,20211202
malawian pop,"rgb(158, 143, 9)",10212px,1045px,100%,20211202
hindustani classical,"rgb(110, 141, 99)",16831px,576px,100%,20211202
tanzanian traditional,"rgb(119, 137, 34)",14899px,819px,100%,20211202
judaica,"rgb(81, 145, 22)",14223px,705px,100%,20211202
australian classical piano,"rgb(28, 164, 195)",19910px,503px,100%,20211202
jazz composition,"rgb(90, 154, 147)",15495px,783px,100%,20211202
blues,"rgb(105, 134, 32)",16369px,1008px,104%,20211202
histoire pour enfants,"rgb(78, 136, 7)",15043px,1176px,100%,20211202
muzica usoara,"rgb(127, 143, 7)",13028px,618px,100%,20211202
mambo,"rgb(140, 128, 68)",14860px,1008px,101%,20211202
classic turkish pop,"rgb(129, 138, 13)",14332px,562px,102%,20211202
haitian gospel,"rgb(152, 138, 10)",10245px,609px,100%,20211202
ye ye,"rgb(131, 138, 7)",14320px,615px,102%,20211202
swedish rock-and-roll,"rgb(177, 122, 69)",10594px,655px,100%,20211202
kolkata indie,"rgb(147, 139, 10)",8913px,675px,100%,20211202
southern gospel,"rgb(119, 143, 14)",12904px,548px,101%,20211202
chicago bop,"rgb(157, 146, 2)",4671px,973px,102%,20211202
sinhala pop,"rgb(146, 143, 11)",10172px,846px,101%,20211202
worcester ma indie,"rgb(174, 121, 22)",8101px,462px,100%,20211202
chinese punk,"rgb(212, 95, 29)",6103px,425px,100%,20211202
garage rock mexicano,"rgb(205, 105, 57)",5521px,354px,100%,20211202
turkish singer-songwriter,"rgb(131, 147, 13)",10680px,696px,103%,20211202
uk melodic rap,"rgb(153, 148, 3)",9904px,1045px,102%,20211202
goralski,"rgb(131, 146, 5)",11282px,783px,100%,20211202
nepali pop,"rgb(151, 142, 9)",9714px,691px,101%,20211202
musica afroperuana,"rgb(143, 138, 28)",12298px,1102px,100%,20211202
nordnorsk rap,"rgb(171, 132, 32)",5605px,996px,100%,20211202
melanesian pop,"rgb(160, 142, 8)",4219px,989px,101%,20211202
christian trap,"rgb(163, 140, 8)",7475px,994px,102%,20211202
czsk hip hop,"rgb(171, 138, 12)",6816px,1017px,104%,20211202
swedish underground rap,"rgb(177, 124, 23)",10113px,1036px,100%,20211202
houston rap,"rgb(159, 135, 4)",5770px,1093px,105%,20211202
liberian pop,"rgb(173, 141, 20)",5050px,1129px,100%,20211202
cumbia sonorense,"rgb(163, 138, 10)",11294px,1077px,102%,20211202
trival,"rgb(190, 135, 65)",2488px,1192px,100%,20211202
deep funk house,"rgb(186, 127, 161)",450px,1407px,100%,20211202
deep tech house,"rgb(195, 139, 201)",211px,1415px,101%,20211202
deep swedish rock,"rgb(196, 106, 19)",6899px,397px,100%,20211202
tech trance,"rgb(233, 107, 185)",781px,644px,100%,20211202
medieval rock,"rgb(192, 110, 35)",6213px,415px,102%,20211202
musique ancienne,"rgb(44, 159, 65)",18812px,379px,100%,20211202
spanish progressive rock,"rgb(176, 125, 113)",9097px,331px,100%,20211202
canadian celtic,"rgb(145, 139, 24)",12941px,527px,101%,20211202
musica cabo-verdiana,"rgb(158, 136, 23)",9111px,870px,100%,20211202
czech folk rock,"rgb(145, 138, 14)",10975px,728px,100%,20211202
cimbalom,"rgb(107, 152, 106)",16474px,710px,100%,20211202
north carolina indie,"rgb(139, 136, 39)",12233px,473px,101%,20211202
oshare kei,"rgb(213, 96, 32)",4099px,329px,101%,20211202
modern bollywood,"rgb(154, 131, 11)",11012px,760px,112%,20211202
malagasy folk,"rgb(141, 137, 44)",12164px,1004px,100%,20211202
oulu indie,"rgb(180, 118, 32)",8174px,375px,100%,20211202
pop lgbtq+ brasileira,"rgb(154, 143, 6)",8119px,938px,104%,20211202
pop romantico,"rgb(135, 141, 8)",13372px,623px,103%,20211202
birmingham hip hop,"rgb(168, 131, 20)",10938px,1047px,101%,20211202
italian post-hardcore,"rgb(187, 112, 82)",9658px,297px,100%,20211202
shush,"rgb(126, 0, 200)",15919px,48px,102%,20211202
italian metal,"rgb(183, 24, 121)",9670px,158px,101%,20211202
belgian hardcore,"rgb(220, 84, 75)",9924px,287px,100%,20211202
indie pop rap,"rgb(172, 134, 9)",6309px,969px,105%,20211202
japanese pop rap,"rgb(172, 141, 9)",5721px,989px,101%,20211202
jangle rock,"rgb(150, 139, 51)",8703px,417px,100%,20211202
brazilian hip hop,"rgb(163, 134, 15)",9891px,1075px,107%,20211202
azonto,"rgb(190, 131, 9)",5808px,1093px,103%,20211202
corrido,"rgb(163, 139, 1)",11758px,1079px,113%,20211202
musica ayacuchana,"rgb(162, 145, 8)",12928px,1008px,100%,20211202
fado de coimbra,"rgb(64, 163, 17)",18645px,705px,100%,20211202
christian hard rock,"rgb(204, 110, 26)",4142px,270px,100%,20211202
nwocr,"rgb(210, 103, 18)",4955px,295px,100%,20211202
ensemble stars,"rgb(225, 105, 0)",2699px,425px,100%,20211202
melodic deathcore,"rgb(233, 70, 76)",5042px,204px,101%,20211202
combos nacionales,"rgb(174, 145, 15)",10015px,1128px,100%,20211202
denver metal,"rgb(224, 77, 113)",7449px,183px,100%,20211202
dutch stoner rock,"rgb(186, 114, 102)",10035px,223px,100%,20211202
utapri,"rgb(205, 114, 70)",2524px,446px,100%,20211202
chamber choir,"rgb(34, 156, 66)",20129px,126px,100%,20211202
australian choir,"rgb(36, 159, 66)",19915px,177px,100%,20211202
boston punk,"rgb(229, 81, 22)",9244px,282px,101%,20211202
texas metal,"rgb(224, 73, 74)",9568px,254px,101%,20211202
german pagan metal,"rgb(222, 84, 96)",5207px,160px,100%,20211202
brazilian post-hardcore,"rgb(225, 81, 27)",7046px,308px,100%,20211202
gothic metal,"rgb(193, 114, 57)",5929px,217px,103%,20211202
viking metal,"rgb(217, 90, 76)",5559px,183px,101%,20211202
death 'n' roll,"rgb(231, 70, 111)",9183px,183px,100%,20211202
sambalpuri pop,"rgb(199, 113, 2)",11307px,785px,100%,20211202
kleine hoerspiel,"rgb(113, 106, 2)",14622px,1273px,106%,20211202
german black metal,"rgb(200, 75, 125)",9479px,87px,100%,20211202
italian death metal,"rgb(227, 62, 123)",7327px,174px,100%,20211202
pittsburgh metal,"rgb(215, 73, 91)",10411px,194px,100%,20211202
melodic black metal,"rgb(215, 76, 127)",8222px,103px,100%,20211202
southern metal,"rgb(218, 94, 36)",7290px,250px,100%,20211202
metal paraguayo,"rgb(221, 80, 70)",8505px,232px,100%,20211202
seattle metal,"rgb(211, 87, 98)",9195px,174px,100%,20211202
japanese traditional,"rgb(72, 139, 135)",17586px,604px,100%,20211202
bulgarian experimental,"rgb(125, 123, 178)",11950px,362px,100%,20211202
8d,"rgb(87, 116, 170)",14184px,302px,101%,20211202
indie catracho,"rgb(154, 141, 67)",7291px,781px,100%,20211202
experimental house,"rgb(173, 140, 183)",2038px,1088px,100%,20211202
belarusian electronic,"rgb(191, 140, 181)",1042px,1093px,100%,20211202
hangpan,"rgb(70, 167, 193)",15452px,836px,100%,20211202
hauntology,"rgb(117, 131, 167)",12245px,413px,101%,20211202
organic ambient,"rgb(111, 152, 166)",10705px,458px,100%,20211202
dub product,"rgb(152, 141, 153)",4803px,1195px,100%,20211202
slushwave,"rgb(138, 129, 181)",10555px,375px,100%,20211202
lithuanian electronic,"rgb(163, 145, 175)",1868px,1133px,101%,20211202
pilates,"rgb(79, 160, 176)",12421px,507px,100%,20211202
leipzig indie,"rgb(149, 139, 79)",6035px,785px,100%,20211202
world chill,"rgb(143, 146, 135)",6992px,853px,100%,20211202
canadian electronic,"rgb(191, 132, 110)",2016px,1000px,103%,20211202
norwegian space disco,"rgb(171, 141, 176)",1795px,1129px,100%,20211202
dutch experimental,"rgb(87, 125, 174)",14123px,354px,100%,20211202
taiko,"rgb(118, 126, 186)",13590px,1042px,100%,20211202
fnf,"rgb(160, 138, 133)",5491px,693px,102%,20211202
danish electronic,"rgb(189, 132, 116)",1628px,1034px,102%,20211202
cinematic dubstep,"rgb(171, 137, 153)",2338px,1097px,100%,20211202
alternative hardcore,"rgb(196, 104, 60)",8382px,499px,100%,20211202
minimal dub,"rgb(186, 139, 214)",1313px,1102px,101%,20211202
kazakh traditional,"rgb(105, 152, 127)",13990px,842px,100%,20211202
indie emo,"rgb(178, 121, 72)",6875px,596px,100%,20211202
weirdcore,"rgb(127, 147, 132)",8566px,880px,104%,20211202
future garage,"rgb(175, 139, 151)",2587px,1015px,102%,20211202
vintage french electronic,"rgb(126, 136, 116)",12647px,591px,101%,20211202
lo-fi vgm,"rgb(129, 150, 167)",5405px,981px,101%,20211202
french tech house,"rgb(193, 136, 185)",223px,1395px,101%,20211202
contemporary jazz,"rgb(82, 149, 142)",16220px,691px,102%,20211202
kindermusik,"rgb(123, 123, 13)",12371px,1156px,104%,20211202
alaska indie,"rgb(123, 146, 23)",12868px,618px,101%,20211202
slack-key guitar,"rgb(82, 168, 120)",15507px,797px,100%,20211202
brazilian classical piano,"rgb(35, 166, 221)",20267px,691px,100%,20211202
israeli jazz,"rgb(93, 153, 167)",15919px,769px,100%,20211202
christian indie,"rgb(129, 147, 16)",10888px,440px,103%,20211202
russian underground rap,"rgb(174, 127, 6)",11331px,989px,101%,20211202
memphis americana,"rgb(143, 136, 23)",11220px,699px,100%,20211202
irish fiddle,"rgb(94, 166, 97)",17215px,738px,100%,20211202
norwegian blues,"rgb(155, 130, 29)",11633px,736px,100%,20211202
togolese pop,"rgb(179, 134, 11)",7882px,998px,100%,20211202
dayton indie,"rgb(176, 119, 37)",8950px,393px,101%,20211202
firenze indie,"rgb(176, 125, 47)",8529px,496px,100%,20211202
indonesian singer-songwriter,"rgb(109, 153, 14)",13064px,612px,103%,20211202
partyschlager,"rgb(226, 105, 5)",1991px,814px,105%,20211202
nordic orchestra,"rgb(43, 151, 149)",18657px,230px,100%,20211202
washboard,"rgb(113, 132, 89)",16157px,1124px,100%,20211202
sheffield indie,"rgb(167, 124, 29)",9269px,393px,105%,20211202
modern folk rock,"rgb(132, 142, 28)",12519px,518px,104%,20211202
neo-progressive,"rgb(146, 135, 54)",10258px,348px,101%,20211202
dancehall guyanaise,"rgb(172, 146, 16)",8667px,1101px,100%,20211202
portuguese metal,"rgb(215, 85, 104)",5941px,219px,100%,20211202
north carolina roots,"rgb(114, 149, 26)",14051px,731px,101%,20211202
british orchestra,"rgb(54, 154, 168)",17492px,244px,101%,20211202
german underground rap,"rgb(171, 135, 20)",9129px,1077px,105%,20211202
sesotho pop,"rgb(164, 136, 12)",7390px,932px,100%,20211202
italian gothic,"rgb(184, 123, 79)",5225px,287px,100%,20211202
hjemmesnekk,"rgb(177, 134, 28)",3981px,1091px,100%,20211202
folklore ecuatoriano,"rgb(108, 154, 32)",14251px,1137px,101%,20211202
memphis hip hop,"rgb(166, 141, 5)",3025px,1137px,107%,20211202
indonesian alternative rock,"rgb(179, 119, 21)",8667px,407px,101%,20211202
philly rap,"rgb(176, 125, 5)",10015px,1047px,106%,20211202
brockton hip hop,"rgb(138, 146, 18)",10790px,1030px,100%,20211202
classical piano duo,"rgb(27, 163, 219)",19621px,668px,100%,20211202
central asian hip hop,"rgb(164, 141, 9)",6235px,1056px,102%,20211202
nordic shoegaze,"rgb(175, 128, 115)",6618px,224px,100%,20211202
molam,"rgb(152, 137, 50)",9840px,857px,100%,20211202
champeta,"rgb(202, 128, 5)",2790px,1082px,103%,20211202
luk thung,"rgb(153, 144, 3)",8213px,733px,100%,20211202
classical bass,"rgb(54, 144, 48)",19922px,411px,100%,20211202
viola,"rgb(35, 163, 141)",20057px,323px,100%,20211202
classical contralto,"rgb(47, 163, 27)",20298px,415px,100%,20211202
euro hi-nrg,"rgb(220, 118, 57)",979px,912px,100%,20211202
texas blues,"rgb(99, 139, 38)",16580px,1021px,101%,20211202
german singer-songwriter,"rgb(129, 147, 9)",10332px,769px,102%,20211202
newfoundland indie,"rgb(129, 144, 22)",11754px,523px,100%,20211202
singaporean punk,"rgb(219, 84, 47)",6570px,297px,100%,20211202
jazz colombiano,"rgb(119, 149, 74)",13127px,932px,100%,20211202
viola caipira,"rgb(118, 154, 52)",14579px,886px,100%,20211202
telugu devotional,"rgb(142, 138, 13)",14014px,926px,100%,20211202
lund indie,"rgb(169, 126, 75)",9306px,367px,100%,20211202
hardstyle,"rgb(232, 103, 45)",2511px,452px,102%,20211202
indie folk,"rgb(108, 151, 37)",13457px,564px,111%,20211202
dutch punk,"rgb(222, 83, 33)",7817px,325px,100%,20211202
jacksonville indie,"rgb(129, 141, 39)",11209px,484px,101%,20211202
indian fusion,"rgb(156, 130, 55)",11320px,764px,101%,20211202
pop quebecois,"rgb(146, 143, 13)",8641px,612px,102%,20211202
soul flow,"rgb(176, 125, 10)",8181px,922px,100%,20211202
balikpapan indie,"rgb(183, 121, 28)",4618px,438px,100%,20211202
malayalam worship,"rgb(142, 150, 8)",8308px,799px,100%,20211202
vintage country folk,"rgb(78, 148, 35)",19054px,1043px,100%,20211202
rhode island rap,"rgb(153, 136, 6)",10419px,1002px,102%,20211202
trash rock,"rgb(217, 89, 45)",9594px,340px,100%,20211202
rap mocambicana,"rgb(155, 145, 8)",10311px,1034px,100%,20211202
jazz cover,"rgb(97, 161, 10)",12596px,855px,102%,20211202
beat italiano,"rgb(144, 134, 12)",11828px,490px,100%,20211202
c-pop,"rgb(122, 148, 5)",11926px,564px,105%,20211202
flick hop,"rgb(187, 113, 19)",8408px,928px,100%,20211202
comedy rock,"rgb(86, 148, 4)",14146px,1179px,101%,20211202
dub,"rgb(134, 145, 48)",5716px,1241px,103%,20211202
spanish classical,"rgb(76, 150, 52)",18856px,644px,100%,20211202
polish early music,"rgb(35, 164, 87)",19885px,204px,100%,20211202
hangoskonyvek,"rgb(51, 110, 11)",16183px,1253px,100%,20211202
nightcore,"rgb(188, 128, 47)",4089px,745px,101%,20211202
latin american classical piano,"rgb(33, 163, 207)",20100px,557px,100%,20211202
michigan folk,"rgb(111, 151, 23)",13114px,733px,100%,20211202
heavy gothic rock,"rgb(186, 119, 55)",5054px,329px,100%,20211202
historic string quartet,"rgb(37, 168, 134)",20192px,371px,100%,20211202
bengali folk,"rgb(95, 151, 27)",17439px,731px,100%,20211202
musica portuguesa contemporanea,"rgb(105, 155, 29)",13077px,707px,100%,20211202
frauenrap,"rgb(145, 148, 16)",6853px,1153px,104%,20211202
eurobeat,"rgb(212, 120, 48)",1879px,574px,101%,20211202
nueva ola chilena,"rgb(118, 145, 13)",14369px,602px,101%,20211202
ceske chvaly,"rgb(137, 148, 12)",9777px,615px,100%,20211202
argentine telepop,"rgb(165, 141, 7)",6180px,713px,103%,20211202
swancore,"rgb(220, 94, 46)",6015px,280px,101%,20211202
pop folk,"rgb(88, 162, 30)",13803px,553px,102%,20211202
gothic alternative,"rgb(210, 107, 17)",4087px,321px,100%,20211202
pakistani pop,"rgb(142, 134, 24)",13717px,682px,102%,20211202
swansea indie,"rgb(165, 128, 29)",7841px,358px,100%,20211202
tanci,"rgb(68, 126, 17)",20206px,1171px,100%,20211202
modern southern rock,"rgb(177, 123, 20)",9061px,488px,103%,20211202
vietnamese singer-songwriter,"rgb(116, 154, 7)",12420px,648px,101%,20211202
jota aragonesa,"rgb(81, 153, 51)",17382px,836px,100%,20211202
arpa paraguaya,"rgb(129, 148, 79)",14603px,912px,100%,20211202
trot,"rgb(147, 148, 36)",9333px,523px,100%,20211202
deep underground hip hop,"rgb(164, 139, 5)",8654px,1019px,104%,20211202
mexican hip hop,"rgb(168, 132, 5)",6640px,1108px,109%,20211202
thai folk rock,"rgb(156, 140, 6)",6782px,699px,101%,20211202
venda rap,"rgb(158, 148, 6)",6728px,1021px,100%,20211202
german reggae,"rgb(165, 136, 13)",6583px,1113px,102%,20211202
wagnerian singing,"rgb(56, 143, 25)",20391px,280px,100%,20211202
swedish choir,"rgb(32, 157, 60)",20117px,128px,100%,20211202
russian choir,"rgb(41, 150, 79)",20218px,117px,100%,20211202
italian pop punk,"rgb(220, 103, 18)",2766px,306px,100%,20211202
black 'n' roll,"rgb(226, 59, 120)",8639px,108px,100%,20211202
canadian pop punk,"rgb(225, 91, 17)",3890px,272px,103%,20211202
wisconsin metal,"rgb(230, 76, 85)",6384px,241px,100%,20211202
finnish hard rock,"rgb(215, 98, 23)",4497px,283px,101%,20211202
samba moderno,"rgb(168, 130, 3)",11945px,878px,102%,20211202
metal pernambucano,"rgb(221, 80, 83)",7302px,241px,100%,20211202
brazilian metal,"rgb(224, 77, 57)",8173px,252px,101%,20211202
danish hardcore,"rgb(233, 65, 113)",8246px,152px,100%,20211202
lowlands hardcore,"rgb(235, 71, 43)",9556px,243px,100%,20211202
fallen angel,"rgb(198, 114, 36)",5182px,230px,100%,20211202
finnish pop punk,"rgb(220, 98, 9)",5758px,336px,100%,20211202
symphonic black metal,"rgb(217, 76, 119)",7719px,108px,101%,20211202
polish classical,"rgb(26, 166, 219)",20312px,425px,102%,20211202
texas pop punk,"rgb(214, 101, 12)",4036px,338px,102%,20211202
colorado hardcore,"rgb(230, 74, 57)",8554px,241px,100%,20211202
crossover thrash,"rgb(234, 59, 56)",9972px,237px,101%,20211202
serbian metal,"rgb(217, 86, 63)",7119px,208px,100%,20211202
pagan black metal,"rgb(209, 66, 144)",9467px,70px,101%,20211202
psydub,"rgb(156, 150, 182)",2845px,932px,100%,20211202
alphorn,"rgb(100, 163, 156)",14149px,534px,100%,20211202
australian experimental,"rgb(108, 136, 167)",12323px,342px,100%,20211202
chill beats,"rgb(136, 161, 183)",3665px,969px,101%,20211202
indian edm,"rgb(190, 138, 109)",2216px,940px,102%,20211202
organic electronic,"rgb(160, 152, 180)",1720px,1237px,102%,20211202
christian dance,"rgb(188, 130, 120)",1588px,920px,100%,20211202
baja indie,"rgb(158, 130, 89)",7351px,615px,100%,20211202
dance-punk,"rgb(196, 116, 65)",2686px,672px,103%,20211202
big beat,"rgb(186, 124, 114)",2301px,851px,104%,20211202
plunderphonics,"rgb(156, 110, 94)",9231px,757px,100%,20211202
minimal wave,"rgb(166, 130, 110)",3745px,764px,100%,20211202
greek techno,"rgb(188, 141, 212)",885px,1188px,100%,20211202
japanese post-punk,"rgb(189, 106, 86)",6608px,496px,100%,20211202
polish electronica,"rgb(154, 143, 135)",4101px,769px,100%,20211202
power electronics,"rgb(164, 75, 151)",10864px,228px,100%,20211202
multidisciplinary,"rgb(138, 140, 92)",10345px,638px,100%,20211202
prepared piano,"rgb(82, 145, 160)",14781px,718px,100%,20211202
ukrainian folk,"rgb(178, 125, 20)",6584px,910px,100%,20211202
acid techno,"rgb(192, 138, 205)",1005px,1128px,100%,20211202
maluku pop,"rgb(146, 147, 8)",10495px,1099px,100%,20211202
singing bowl,"rgb(33, 159, 171)",17401px,267px,100%,20211202
thai folk pop,"rgb(142, 150, 4)",9219px,693px,101%,20211202
czech singer-songwriter,"rgb(111, 147, 11)",14360px,810px,100%,20211202
samba-jazz,"rgb(81, 154, 104)",17110px,859px,101%,20211202
swing revival,"rgb(138, 130, 23)",12532px,916px,100%,20211202
caucasian classical piano,"rgb(33, 163, 210)",20255px,518px,100%,20211202
traditional blues,"rgb(96, 137, 33)",17268px,1042px,102%,20211202
lagu lampung,"rgb(182, 144, 33)",6522px,702px,100%,20211202
mexican traditional,"rgb(125, 142, 17)",14334px,952px,100%,20211202
austin americana,"rgb(133, 142, 11)",11257px,685px,101%,20211202
amharic pop,"rgb(173, 133, 8)",6322px,892px,100%,20211202
uk pop,"rgb(149, 144, 6)",7757px,745px,121%,20211202
deep melodic metalcore,"rgb(222, 86, 40)",5660px,272px,101%,20211202
deep new americana,"rgb(136, 141, 17)",11961px,576px,105%,20211202
chicago blues,"rgb(119, 128, 29)",15839px,1006px,101%,20211202
peruvian metal,"rgb(210, 93, 88)",7461px,228px,100%,20211202
cleveland indie,"rgb(181, 114, 54)",8877px,336px,100%,20211202
deep german hip hop,"rgb(179, 132, 24)",9344px,1002px,105%,20211202
taiwan rock,"rgb(184, 120, 27)",4948px,411px,100%,20211202
trap italiana,"rgb(170, 148, 4)",6132px,987px,106%,20211202
turkce drill,"rgb(150, 154, 37)",4089px,1055px,102%,20211202
zim urban groove,"rgb(162, 139, 26)",11383px,940px,100%,20211202
uzbek pop,"rgb(183, 131, 6)",5857px,876px,101%,20211202
boogie,"rgb(175, 120, 35)",2766px,1135px,100%,20211202
malaysian mandopop,"rgb(132, 150, 4)",10449px,602px,101%,20211202
bomba,"rgb(185, 136, 27)",4696px,1129px,100%,20211202
punta,"rgb(190, 122, 16)",6584px,1040px,100%,20211202
japanese orchestra,"rgb(68, 144, 147)",17610px,237px,100%,20211202
swiss reggae,"rgb(163, 143, 30)",4971px,1156px,100%,20211202
colombian hip hop,"rgb(171, 131, 12)",7228px,1106px,102%,20211202
krajiska muzika,"rgb(179, 120, 3)",10569px,635px,100%,20211202
nordic contemporary classical,"rgb(29, 157, 120)",19560px,239px,100%,20211202
italian contemporary jazz,"rgb(75, 157, 135)",17718px,699px,100%,20211202
new orleans blues,"rgb(123, 128, 43)",14911px,906px,101%,20211202
dizi,"rgb(61, 170, 71)",16236px,415px,100%,20211202
shehnai,"rgb(131, 124, 184)",17454px,518px,100%,20211202
folk brasileiro,"rgb(116, 154, 11)",11159px,702px,103%,20211202
japanese blues,"rgb(166, 122, 26)",11245px,696px,100%,20211202
chinese classical piano,"rgb(34, 164, 206)",19983px,471px,100%,20211202
gay chorus,"rgb(67, 132, 47)",19147px,244px,100%,20211202
cuban funk,"rgb(156, 123, 77)",13224px,1006px,100%,20211202
punk galego,"rgb(213, 99, 26)",6348px,452px,100%,20211202
australian country,"rgb(148, 142, 4)",9183px,720px,102%,20211202
tagalog worship,"rgb(89, 157, 38)",13828px,407px,101%,20211202
native american spiritual,"rgb(76, 159, 30)",13420px,981px,100%,20211202
boston hardcore,"rgb(227, 71, 59)",10295px,252px,100%,20211202
mississippi indie,"rgb(164, 129, 33)",10157px,419px,100%,20211202
nightrun,"rgb(202, 121, 52)",2501px,360px,101%,20211202
acoustic guitar cover,"rgb(97, 172, 200)",14038px,994px,101%,20211202
moorish traditional,"rgb(126, 130, 43)",13274px,940px,100%,20211202
latin arena pop,"rgb(174, 136, 4)",5969px,675px,112%,20211202
kannada pop,"rgb(150, 141, 4)",10480px,884px,100%,20211202
spanish hip hop,"rgb(186, 124, 16)",10470px,1051px,105%,20211202
reggae fusion,"rgb(178, 134, 5)",9230px,1093px,106%,20211202
canadian shoegaze,"rgb(162, 126, 132)",7990px,174px,100%,20211202
musica istmena,"rgb(164, 141, 17)",11024px,1095px,100%,20211202
atl trap,"rgb(148, 153, 4)",3930px,1137px,106%,20211202
psych gaze,"rgb(174, 125, 113)",8014px,217px,100%,20211202
brega funk,"rgb(188, 138, 4)",4142px,1270px,102%,20211202
indian classical,"rgb(119, 138, 68)",17189px,688px,101%,20211202
hindi worship,"rgb(133, 147, 21)",10369px,553px,100%,20211202
j-division,"rgb(200, 117, 27)",3678px,530px,102%,20211202
a3,"rgb(213, 109, 58)",3798px,417px,100%,20211202
musica andina,"rgb(119, 148, 55)",13879px,924px,101%,20211202
soul jazz,"rgb(97, 145, 77)",16474px,863px,102%,20211202
musica tradicional cubana,"rgb(132, 133, 40)",15375px,1006px,102%,20211202
forro gospel,"rgb(191, 133, 7)",7092px,890px,100%,20211202
ragtime,"rgb(91, 141, 178)",18353px,1077px,100%,20211202
smutny rap,"rgb(153, 149, 5)",6521px,938px,101%,20211202
family gospel,"rgb(119, 145, 10)",12708px,553px,100%,20211202
country,"rgb(130, 139, 9)",11294px,713px,116%,20211202
oxford choir,"rgb(53, 157, 58)",19572px,151px,100%,20211202
greek drill,"rgb(159, 148, 21)",6779px,1088px,101%,20211202
classic arab pop,"rgb(122, 137, 23)",14260px,589px,101%,20211202
marathi pop,"rgb(158, 130, 4)",9702px,892px,101%,20211202
dreamo,"rgb(182, 119, 71)",6960px,293px,105%,20211202
paisley underground,"rgb(170, 120, 29)",10036px,427px,101%,20211202
nashville hip hop,"rgb(162, 136, 5)",6558px,1042px,102%,20211202
rap gaucho,"rgb(168, 134, 4)",9640px,1058px,100%,20211202
king of prism,"rgb(221, 111, 69)",2078px,409px,100%,20211202
salsa colombiana,"rgb(191, 143, 8)",9443px,1128px,103%,20211202
cueca chilena,"rgb(156, 130, 2)",11967px,767px,100%,20211202
melodic thrash,"rgb(232, 76, 61)",7229px,239px,102%,20211202
power metal,"rgb(215, 93, 36)",5484px,219px,106%,20211202
black death,"rgb(221, 55, 147)",10696px,89px,100%,20211202
finnish metal,"rgb(214, 99, 72)",4724px,186px,102%,20211202
irish black metal,"rgb(200, 80, 128)",9694px,79px,100%,20211202
