genre,color,size,left,top
indonesian alternative rock,"rgb(181, 119, 22)",102%,419px,6661px
boogie,"rgb(175, 119, 35)",100%,1134px,2244px
folklore ecuatoriano,"rgb(104, 155, 34)",100%,1141px,11712px
greek trap,"rgb(163, 147, 6)",102%,1042px,5199px
latin shoegaze,"rgb(173, 126, 163)",100%,197px,6439px
norwegian classical,"rgb(23, 164, 170)",101%,345px,16230px
música pitiusa,"rgb(153, 137, 22)",100%,535px,9885px
roots worship,"rgb(121, 149, 21)",103%,455px,9611px
jazz chileno,"rgb(116, 142, 116)",100%,795px,12166px
spanish indie folk,"rgb(117, 152, 33)",100%,572px,10356px
st petersburg fl indie,"rgb(160, 131, 41)",100%,457px,8778px
newfoundland indie,"rgb(129, 144, 22)",100%,529px,10123px
samba de roda,"rgb(106, 144, 10)",102%,867px,12141px
japanese vocal jazz,"rgb(90, 155, 14)",100%,795px,12463px
jacksonville indie,"rgb(133, 139, 39)",101%,486px,9166px
goa psytrance,"rgb(221, 132, 202)",100%,1080px,400px
chant religieux,"rgb(60, 163, 34)",100%,275px,14533px
classical organ,"rgb(32, 158, 179)",100%,105px,14597px
brisbane indie,"rgb(179, 122, 37)",101%,366px,6037px
australian thrash metal,"rgb(230, 73, 76)",100%,267px,7468px
deep psychobilly,"rgb(220, 87, 33)",100%,522px,7406px
british orchestra,"rgb(54, 154, 168)",100%,258px,14243px
mbira,"rgb(152, 144, 30)",100%,986px,9167px
rap conciencia,"rgb(182, 122, 7)",104%,1057px,8149px
dutch underground hip hop,"rgb(176, 124, 10)",100%,1014px,7585px
balkan hip hop,"rgb(186, 121, 14)",101%,1071px,6347px
nigerian pop,"rgb(186, 133, 7)",105%,1042px,6200px
baluchi folk,"rgb(183, 114, 24)",100%,940px,8441px
comedy rock,"rgb(90, 146, 3)",101%,1183px,11411px
atmospheric black metal,"rgb(181, 85, 184)",100%,86px,8232px
rap paraguayo,"rgb(163, 147, 25)",100%,1138px,4234px
gruperas inmortales,"rgb(163, 145, 7)",104%,1051px,8014px
molam,"rgb(154, 139, 55)",100%,884px,7803px
dub,"rgb(134, 145, 49)",104%,1246px,4629px
italian tech house,"rgb(211, 126, 189)",101%,1422px,75px
michigan folk,"rgb(111, 151, 24)",100%,755px,10419px
alaska indie,"rgb(126, 145, 24)",101%,619px,10468px
wyoming indie,"rgb(172, 123, 26)",100%,482px,7215px
jazz,"rgb(83, 143, 106)",105%,924px,14266px
acoustic chill,"rgb(85, 163, 10)",102%,812px,11369px
classic pakistani pop,"rgb(131, 135, 34)",102%,718px,11909px
alternative country,"rgb(128, 141, 24)",104%,589px,10810px
viola caipira,"rgb(117, 155, 55)",100%,880px,11909px
indie valenciana,"rgb(174, 130, 27)",100%,467px,5729px
jazz colombiano,"rgb(120, 149, 73)",100%,943px,10680px
musica calabrese,"rgb(156, 135, 9)",100%,767px,7866px
pop chileno,"rgb(153, 144, 11)",102%,713px,6141px
modern mod,"rgb(189, 117, 33)",100%,435px,5142px
guggenmusik,"rgb(215, 57, 150)",100%,569px,11296px
hip hop cubano,"rgb(173, 125, 6)",101%,1093px,8177px
irish country,"rgb(111, 149, 8)",101%,538px,11320px
firenze indie,"rgb(177, 125, 48)",100%,509px,6995px
italian post-hardcore,"rgb(189, 110, 86)",100%,298px,8071px
brazilian surf rock,"rgb(208, 109, 128)",100%,419px,6184px
hi-tech,"rgb(232, 119, 185)",100%,819px,732px
panamanian pop,"rgb(188, 134, 13)",105%,1091px,5274px
pittsburgh rock,"rgb(180, 116, 25)",100%,423px,7105px
flick hop,"rgb(188, 113, 19)",100%,949px,6679px
ottawa rap,"rgb(150, 145, 14)",102%,1075px,5050px
ghanaian pop,"rgb(176, 139, 8)",101%,1116px,5445px
swiss experimental,"rgb(119, 125, 138)",100%,786px,9861px
voidgaze,"rgb(202, 69, 166)",101%,60px,7770px
symphonic black metal,"rgb(215, 71, 120)",102%,115px,6857px
brazilian metal,"rgb(224, 76, 58)",101%,265px,6956px
colombian hardcore,"rgb(231, 82, 41)",100%,304px,5451px
christian metalcore,"rgb(227, 82, 47)",101%,222px,4730px
neo-trad metal,"rgb(223, 85, 32)",101%,238px,4544px
italian progressive metal,"rgb(202, 107, 56)",100%,267px,5488px
corrido,"rgb(166, 137, 1)",106%,1075px,8703px
bible,"rgb(69, 134, 0)",100%,1305px,14059px
polish classical,"rgb(26, 166, 217)",102%,441px,16600px
post-post-hardcore,"rgb(227, 87, 25)",101%,222px,3338px
colorado hardcore,"rgb(230, 73, 59)",100%,251px,7141px
japanese heavy metal,"rgb(220, 87, 42)",100%,260px,5395px
igbo traditional,"rgb(186, 128, 37)",100%,1141px,9814px
chill-out trance,"rgb(167, 147, 176)",100%,776px,2175px
plunderphonics,"rgb(155, 109, 93)",100%,765px,7228px
taiwan experimental,"rgb(151, 116, 125)",100%,482px,10000px
world chill,"rgb(144, 145, 123)",100%,842px,5947px
industrial,"rgb(168, 103, 109)",104%,514px,5014px
japanese post-punk,"rgb(186, 107, 83)",100%,542px,5644px
big beat,"rgb(186, 124, 115)",104%,859px,1878px
ninja,"rgb(162, 129, 119)",105%,930px,3701px
minimal melodic techno,"rgb(161, 152, 205)",100%,1140px,1282px
slovenian electronic,"rgb(193, 132, 170)",101%,1176px,1479px
vapor house,"rgb(181, 135, 141)",100%,1132px,1776px
modular techno,"rgb(185, 139, 209)",100%,1141px,947px
christian dance,"rgb(188, 130, 125)",100%,949px,1231px
italian library music,"rgb(111, 154, 165)",100%,627px,11161px
hamilton on indie,"rgb(159, 128, 43)",100%,584px,6699px
field recording,"rgb(91, 90, 149)",100%,302px,12530px
musica piemonteisa,"rgb(116, 150, 63)",100%,970px,10466px
ethnomusicology,"rgb(86, 132, 78)",100%,943px,13693px
gamecore,"rgb(182, 134, 121)",100%,808px,2845px
sovietwave,"rgb(178, 139, 147)",101%,650px,2584px
berlin school,"rgb(106, 150, 188)",100%,384px,9179px
croatian electronic,"rgb(205, 127, 199)",100%,1210px,263px
ballroom,"rgb(97, 148, 145)",101%,449px,12117px
indie emo,"rgb(177, 120, 69)",100%,579px,6216px
deep hardcore,"rgb(195, 116, 100)",100%,863px,1890px
electrofox,"rgb(184, 130, 81)",100%,861px,1738px
theremin,"rgb(91, 151, 148)",100%,421px,11543px
ukrainian folk,"rgb(177, 125, 21)",100%,918px,5507px
acid house,"rgb(189, 126, 145)",101%,1106px,1233px
perreo,"rgb(187, 137, 5)",109%,1171px,3587px
baton rouge rap,"rgb(162, 142, 4)",105%,1113px,3600px
german opera,"rgb(48, 143, 59)",100%,304px,16279px
shakuhachi,"rgb(28, 175, 115)",100%,319px,16047px
lute,"rgb(30, 168, 186)",100%,920px,15717px
new orleans blues,"rgb(123, 128, 43)",101%,910px,12166px
swing revival,"rgb(137, 130, 23)",100%,930px,10161px
piada,"rgb(153, 110, 8)",100%,1175px,12595px
bengali folk,"rgb(92, 151, 30)",100%,715px,14394px
rock catracho,"rgb(186, 121, 22)",100%,496px,6845px
gnawa,"rgb(165, 121, 43)",100%,965px,9935px
latin talent show,"rgb(142, 148, 6)",104%,731px,7740px
greek punk,"rgb(215, 99, 52)",100%,353px,4919px
fast melodic punk,"rgb(230, 80, 25)",100%,323px,5828px
metal tico,"rgb(214, 85, 79)",100%,278px,6475px
mexican power metal,"rgb(210, 104, 38)",100%,269px,5407px
white noise,"rgb(93, 0, 192)",105%,0px,9129px
j-pop boy group,"rgb(203, 121, 22)",102%,680px,2114px
mexican son,"rgb(119, 149, 39)",100%,936px,11258px
kosovan folk,"rgb(142, 143, 10)",100%,492px,11529px
emo punk,"rgb(187, 112, 40)",101%,357px,7506px
mathgrind,"rgb(220, 40, 134)",100%,162px,8650px
sevdah,"rgb(161, 131, 6)",101%,558px,9203px
reggae mexicano,"rgb(166, 139, 29)",100%,1055px,4047px
k-pop girl group,"rgb(204, 127, 20)",109%,888px,2223px
mississippi hip hop,"rgb(163, 139, 4)",102%,1079px,4346px
swiss reggae,"rgb(164, 143, 30)",100%,1157px,3984px
dutch trap pop,"rgb(166, 144, 15)",106%,1125px,4877px
tamaulipas rap,"rgb(158, 139, 7)",101%,1145px,4717px
thai folk pop,"rgb(142, 150, 4)",101%,702px,7578px
old school dancehall,"rgb(151, 141, 10)",102%,1196px,4927px
birdsong,"rgb(194, 0, 199)",100%,282px,13047px
children's story,"rgb(75, 128, 4)",100%,1264px,11755px
dizi,"rgb(61, 169, 70)",100%,423px,13176px
rajasthani folk,"rgb(151, 121, 33)",100%,760px,12080px
cuban rumba,"rgb(135, 127, 59)",101%,990px,12451px
japanese jazz,"rgb(100, 148, 124)",101%,847px,12364px
sertanejo universitario,"rgb(176, 133, 1)",113%,830px,7597px
chicago blues,"rgb(119, 127, 29)",101%,1010px,12875px
canadian folk,"rgb(113, 151, 17)",102%,660px,10077px
talentos brasileiros,"rgb(152, 143, 6)",100%,799px,7766px
sertanejo,"rgb(168, 136, 1)",110%,832px,7752px
neo-progressive,"rgb(146, 136, 55)",101%,351px,8492px
norwegian country,"rgb(162, 135, 7)",101%,647px,6894px
screamocore,"rgb(214, 96, 29)",100%,286px,5277px
spanish modern rock,"rgb(182, 127, 33)",101%,376px,4124px
israeli trap,"rgb(166, 139, 7)",100%,1022px,5445px
singaporean mandopop,"rgb(124, 150, 5)",102%,603px,8938px
rock goiano,"rgb(200, 106, 36)",100%,347px,5753px
kaneka,"rgb(178, 139, 2)",101%,922px,4484px
sholawat,"rgb(164, 152, 11)",102%,814px,5439px
russian dance,"rgb(178, 141, 9)",102%,949px,3263px
zambian hip hop,"rgb(181, 136, 9)",100%,1014px,6213px
kurdish folk,"rgb(136, 139, 20)",100%,728px,11000px
paisley underground,"rgb(169, 121, 26)",101%,443px,7851px
proto-rap,"rgb(189, 96, 33)",100%,1285px,4112px
bells,"rgb(82, 125, 201)",100%,278px,14877px
romanian contemporary classical,"rgb(30, 155, 130)",100%,336px,15655px
persian traditional,"rgb(76, 158, 101)",100%,589px,14511px
harmonica jazz,"rgb(91, 152, 88)",100%,898px,13069px
jazz drums,"rgb(109, 128, 96)",100%,900px,13176px
peruvian metal,"rgb(211, 92, 87)",100%,247px,6500px
traditional blues,"rgb(95, 137, 33)",102%,1049px,14081px
tecnobrega,"rgb(200, 134, 4)",101%,888px,4549px
folklore paraguayo,"rgb(147, 143, 30)",100%,924px,10235px
australian americana,"rgb(121, 151, 7)",101%,696px,9639px
indie cafe pop,"rgb(110, 154, 11)",108%,656px,9488px
modern jazz piano,"rgb(72, 154, 181)",101%,767px,14142px
orquesta tipica,"rgb(79, 146, 93)",100%,1001px,14963px
rap underground espanol,"rgb(181, 123, 13)",102%,1014px,8076px
dangdut remix,"rgb(187, 147, 9)",101%,914px,3165px
austin americana,"rgb(135, 141, 11)",101%,684px,9123px
world worship,"rgb(137, 143, 20)",108%,355px,7876px
straight edge,"rgb(228, 76, 40)",101%,319px,8157px
country,"rgb(129, 139, 9)",117%,723px,9240px
family gospel,"rgb(119, 145, 9)",100%,563px,10737px
desert blues,"rgb(145, 141, 45)",101%,938px,9317px
hopebeat,"rgb(172, 136, 13)",103%,511px,3337px
neomelodici,"rgb(173, 133, 4)",101%,677px,5950px
stoner metal,"rgb(196, 103, 100)",103%,269px,8700px
funk ostentacao,"rgb(176, 130, 3)",106%,1220px,5368px
rap alagoano,"rgb(178, 133, 18)",100%,1040px,4284px
brockton hip hop,"rgb(141, 145, 14)",100%,1031px,7851px
hip hop quebecois,"rgb(175, 131, 5)",101%,1031px,6769px
malaysian mandopop,"rgb(132, 150, 4)",101%,606px,8609px
drone metal,"rgb(164, 109, 171)",101%,150px,8790px
reggae fusion,"rgb(177, 133, 5)",107%,1097px,6984px
heavy alternative,"rgb(213, 109, 10)",100%,284px,2756px
salsa colombiana,"rgb(190, 143, 8)",102%,1131px,6946px
brazilian death metal,"rgb(235, 55, 123)",100%,176px,8676px
christian power metal,"rgb(212, 100, 27)",100%,228px,4345px
finnish black metal,"rgb(211, 58, 154)",100%,62px,7676px
erhu,"rgb(65, 170, 113)",100%,297px,14167px
melodic thrash,"rgb(232, 77, 60)",102%,255px,6221px
power metal,"rgb(214, 94, 36)",106%,233px,4556px
japanese psychedelic,"rgb(151, 116, 123)",100%,382px,10541px
fidget house,"rgb(198, 121, 116)",101%,1120px,1319px
kyrgyz traditional,"rgb(68, 163, 164)",100%,861px,15502px
wrestling,"rgb(195, 99, 38)",104%,511px,3445px
south african electronic,"rgb(149, 142, 145)",100%,1086px,2713px
french renaissance,"rgb(38, 163, 99)",100%,366px,15766px
kodomo no ongaku,"rgb(115, 152, 13)",100%,997px,8889px
vogue,"rgb(183, 129, 114)",100%,1132px,1666px
vocaloid,"rgb(207, 118, 51)",101%,603px,2196px
indonesian r&b,"rgb(178, 135, 106)",102%,1079px,2207px
greek contemporary classical,"rgb(78, 153, 116)",100%,501px,13499px
african percussion,"rgb(156, 123, 123)",100%,1148px,9452px
uk funky,"rgb(185, 136, 79)",103%,1134px,1733px
belly dance,"rgb(153, 130, 72)",101%,836px,8241px
shush,"rgb(58, 75, 191)",102%,110px,11346px
scottish techno,"rgb(185, 142, 204)",100%,1175px,669px
schranz,"rgb(222, 92, 192)",100%,988px,593px
brazilian edm,"rgb(181, 135, 100)",109%,1203px,1550px
detroit techno,"rgb(179, 134, 187)",100%,1196px,1095px
drone,"rgb(69, 150, 189)",102%,343px,12875px
chinese soundtrack,"rgb(65, 157, 176)",100%,345px,11484px
electronic rock,"rgb(190, 114, 71)",102%,624px,1830px
hangpan,"rgb(73, 168, 190)",100%,874px,12558px
final fantasy,"rgb(107, 148, 182)",101%,372px,9154px
ambient psychill,"rgb(160, 151, 197)",100%,731px,2497px
progressive trance house,"rgb(188, 141, 180)",101%,1031px,742px
nordic ambient,"rgb(84, 147, 202)",100%,278px,11023px
romanian electronic,"rgb(177, 140, 188)",100%,1376px,607px
polynesian traditional,"rgb(109, 125, 68)",100%,792px,13376px
digital hardcore,"rgb(210, 83, 108)",101%,445px,3359px
anime score,"rgb(112, 144, 158)",105%,403px,9264px
japanese progressive house,"rgb(202, 132, 167)",100%,878px,1003px
queercore,"rgb(185, 109, 50)",100%,529px,6172px
industrial hip hop,"rgb(193, 107, 68)",101%,751px,4316px
power noise,"rgb(201, 98, 159)",100%,560px,2233px
muzica copii,"rgb(133, 152, 29)",100%,1003px,6971px
norwegian psychedelic,"rgb(157, 125, 103)",100%,289px,8851px
canadian comedy,"rgb(149, 78, 5)",100%,1058px,13801px
belgian jazz,"rgb(82, 157, 121)",100%,821px,13930px
veena,"rgb(123, 139, 60)",100%,790px,13715px
finnish tango,"rgb(93, 151, 6)",100%,567px,12521px
macedonian folk,"rgb(155, 136, 32)",100%,540px,10639px
rock alternativo espanol,"rgb(197, 112, 27)",101%,364px,4693px
musica popular uruguaya,"rgb(142, 135, 11)",100%,878px,10210px
german street punk,"rgb(217, 92, 17)",100%,391px,7333px
alternative metal,"rgb(211, 92, 46)",120%,321px,5076px
malian blues,"rgb(141, 145, 54)",101%,916px,9488px
greek clarinet,"rgb(125, 151, 71)",100%,507px,12044px
trap argentino,"rgb(155, 149, 7)",107%,1097px,5732px
louisiana metal,"rgb(205, 88, 92)",100%,204px,8974px
cincinnati rap,"rgb(144, 152, 5)",100%,1088px,3959px
indonesian black metal,"rgb(216, 77, 130)",100%,183px,6686px
ghanaian hip hop,"rgb(184, 132, 4)",102%,1118px,6021px
turkish classical,"rgb(83, 160, 103)",100%,451px,14588px
new orleans jazz,"rgb(89, 132, 113)",102%,1014px,14373px
modern old-time,"rgb(120, 154, 51)",100%,801px,11702px
deep full on,"rgb(232, 114, 178)",100%,916px,658px
classic bollywood,"rgb(113, 139, 41)",102%,680px,13758px
rock urbano mexicano,"rgb(189, 116, 16)",102%,535px,8069px
botswana pop,"rgb(154, 141, 12)",100%,928px,5594px
emo rap italiano,"rgb(171, 142, 14)",102%,827px,4631px
kizomba,"rgb(177, 146, 21)",101%,995px,2347px
deep indie singer-songwriter,"rgb(125, 150, 12)",100%,593px,8804px
anglican liturgy,"rgb(29, 161, 106)",100%,155px,16046px
enka,"rgb(111, 152, 14)",101%,514px,10873px
progressive post-hardcore,"rgb(199, 108, 36)",103%,306px,5383px
rock caipira,"rgb(187, 120, 31)",100%,574px,6771px
german rockabilly,"rgb(199, 109, 18)",100%,760px,8229px
hungarian metal,"rgb(219, 92, 43)",100%,325px,3962px
gospel soul,"rgb(129, 124, 11)",100%,677px,11764px
stoner rock,"rgb(195, 105, 88)",103%,276px,8740px
rif,"rgb(188, 121, 7)",103%,869px,4329px
austrian choir,"rgb(47, 151, 42)",100%,286px,15912px
new americana,"rgb(121, 145, 17)",108%,627px,11134px
rock en asturiano,"rgb(199, 109, 15)",100%,478px,6159px
hardstyle,"rgb(232, 101, 49)",103%,480px,1992px
indie singer-songwriter,"rgb(103, 157, 14)",100%,619px,11012px
flamenco,"rgb(124, 139, 62)",104%,900px,12413px
maloya,"rgb(151, 135, 9)",100%,1027px,8665px
british singer-songwriter,"rgb(92, 157, 26)",103%,577px,11933px
drill,"rgb(161, 143, 2)",105%,970px,4548px
chicago drill,"rgb(162, 144, 1)",104%,970px,4768px
pinoy pop punk,"rgb(206, 106, 14)",101%,359px,5587px
hardcore,"rgb(228, 78, 38)",101%,343px,7703px
london rap,"rgb(173, 135, 7)",103%,1046px,7448px
trap chileno,"rgb(161, 150, 4)",103%,1042px,5359px
japanese metalcore,"rgb(232, 78, 36)",101%,224px,3423px
german metalcore,"rgb(230, 81, 43)",101%,213px,3445px
russian black metal,"rgb(192, 85, 149)",100%,76px,6932px
danish death metal,"rgb(232, 71, 130)",100%,171px,4956px
abstract beats,"rgb(155, 128, 112)",101%,902px,5959px
cuban electronic,"rgb(201, 124, 136)",100%,961px,1653px
russian techno,"rgb(175, 141, 209)",100%,1308px,730px
comic,"rgb(147, 113, 16)",106%,928px,9513px
zurich indie,"rgb(157, 134, 73)",100%,687px,4816px
elektropunk,"rgb(179, 128, 50)",100%,955px,1865px
indie shoegaze,"rgb(166, 128, 134)",100%,262px,6062px
japanese jazztronica,"rgb(177, 131, 102)",101%,886px,3737px
funk rock,"rgb(186, 104, 38)",107%,774px,5321px
rock baiano,"rgb(168, 121, 14)",101%,753px,7839px
indonesian reggae,"rgb(169, 129, 13)",101%,772px,5935px
neo-synthpop,"rgb(183, 133, 74)",104%,726px,1809px
experimental rock,"rgb(154, 107, 99)",101%,492px,10306px
mexican indie,"rgb(178, 129, 50)",105%,650px,3639px
deep ambient,"rgb(72, 146, 202)",100%,217px,11949px
albuquerque indie,"rgb(145, 133, 44)",101%,619px,7203px
indie jazz,"rgb(136, 139, 112)",104%,902px,7522px
vanuatu music,"rgb(152, 132, 20)",100%,1089px,5311px
dark disco,"rgb(173, 144, 180)",101%,1254px,632px
theme,"rgb(93, 142, 141)",101%,395px,11346px
dream trance,"rgb(201, 130, 165)",101%,1064px,873px
collage pop,"rgb(145, 118, 89)",101%,533px,9012px
deep indie pop,"rgb(160, 129, 60)",100%,514px,7068px
japanese experimental,"rgb(124, 126, 134)",100%,687px,8155px
deep german indie,"rgb(158, 136, 47)",100%,608px,5066px
disco house,"rgb(200, 123, 99)",108%,1106px,1132px
australian ska,"rgb(199, 109, 20)",100%,726px,6027px
northumbrian folk,"rgb(80, 164, 89)",100%,842px,13364px
