genre,color,top,left,font_size,run_date
nordnorsk rap,"rgb(171, 132, 32)",5498px,997px,100%,20211201
liberian pop,"rgb(173, 141, 20)",5085px,1130px,100%,20211201
houston rap,"rgb(160, 135, 4)",5609px,1096px,105%,20211201
cumbia sonorense,"rgb(163, 138, 10)",11141px,1078px,102%,20211201
trival,"rgb(190, 135, 65)",2485px,1192px,100%,20211201
scam rap,"rgb(159, 145, 2)",6793px,1074px,102%,20211201
lovers rock,"rgb(143, 145, 13)",6382px,1178px,103%,20211201
deep tech house,"rgb(195, 139, 201)",210px,1415px,101%,20211201
deep swedish rock,"rgb(196, 106, 19)",7027px,400px,100%,20211201
tech trance,"rgb(233, 107, 185)",780px,646px,100%,20211201
musique ancienne,"rgb(44, 159, 65)",18792px,382px,100%,20211201
canadian celtic,"rgb(145, 139, 24)",12933px,530px,101%,20211201
samba,"rgb(124, 140, 27)",14138px,867px,105%,20211201
czech folk rock,"rgb(145, 138, 14)",10981px,730px,100%,20211201
channel pop,"rgb(116, 155, 9)",11078px,764px,102%,20211201
oshare kei,"rgb(213, 96, 32)",4107px,331px,101%,20211201
bubblegum pop,"rgb(135, 131, 7)",12908px,701px,107%,20211201
north carolina indie,"rgb(139, 135, 39)",12341px,475px,101%,20211201
musica cabo-verdiana,"rgb(158, 136, 23)",9140px,871px,100%,20211201
birmingham hip hop,"rgb(168, 131, 20)",10733px,1048px,101%,20211201
modern bollywood,"rgb(153, 131, 12)",11116px,757px,112%,20211201
egyptian hip hop,"rgb(152, 141, 19)",10058px,1009px,101%,20211201
italian post-hardcore,"rgb(187, 112, 82)",9897px,299px,100%,20211201
oulu indie,"rgb(180, 118, 32)",8309px,378px,100%,20211201
malagasy folk,"rgb(141, 137, 44)",12119px,1005px,100%,20211201
uk melodic rap,"rgb(153, 148, 3)",9750px,1046px,102%,20211201
belgian hardcore,"rgb(220, 84, 75)",9945px,290px,100%,20211201
japanese pop rap,"rgb(172, 142, 9)",5801px,990px,101%,20211201
swedish underground rap,"rgb(177, 124, 22)",9876px,1037px,100%,20211201
jangle rock,"rgb(150, 139, 51)",9114px,420px,100%,20211201
finnish trap,"rgb(156, 148, 8)",3594px,1081px,101%,20211201
merengue,"rgb(179, 126, 10)",11277px,1059px,102%,20211201
brazilian hip hop,"rgb(163, 134, 15)",9762px,1074px,107%,20211201
corrido,"rgb(163, 138, 1)",11451px,1080px,113%,20211201
musica ayacuchana,"rgb(162, 145, 8)",12862px,1009px,100%,20211201
fado de coimbra,"rgb(64, 163, 17)",18622px,706px,100%,20211201
dutch black metal,"rgb(205, 65, 154)",9673px,66px,100%,20211201
brazilian post-hardcore,"rgb(225, 82, 27)",7150px,312px,100%,20211201
ensemble stars,"rgb(224, 105, 0)",2696px,430px,100%,20211201
combos nacionales,"rgb(174, 146, 15)",9825px,1129px,100%,20211201
denver metal,"rgb(224, 77, 113)",7566px,186px,100%,20211201
dutch stoner rock,"rgb(186, 114, 102)",9970px,225px,100%,20211201
utapri,"rgb(205, 114, 70)",2498px,448px,100%,20211201
chamber choir,"rgb(34, 156, 65)",20102px,129px,100%,20211201
nwocr,"rgb(211, 102, 19)",4962px,295px,100%,20211201
goregrind,"rgb(229, 51, 139)",10081px,170px,100%,20211201
boston punk,"rgb(229, 81, 22)",9359px,284px,101%,20211201
australian choir,"rgb(36, 159, 66)",19890px,180px,100%,20211201
german pagan metal,"rgb(222, 84, 96)",5229px,163px,100%,20211201
texas metal,"rgb(224, 73, 74)",9636px,256px,101%,20211201
viking metal,"rgb(217, 90, 76)",5511px,186px,101%,20211201
death 'n' roll,"rgb(231, 70, 111)",9310px,186px,100%,20211201
sambalpuri pop,"rgb(199, 113, 2)",11452px,789px,100%,20211201
british choir,"rgb(39, 151, 62)",19770px,122px,100%,20211201
kleine hoerspiel,"rgb(113, 107, 2)",14657px,1272px,106%,20211201
italian death metal,"rgb(227, 62, 123)",7370px,177px,100%,20211201
pittsburgh metal,"rgb(215, 73, 91)",10447px,196px,100%,20211201
german black metal,"rgb(200, 75, 125)",9470px,91px,100%,20211201
melodic black metal,"rgb(215, 76, 127)",8271px,106px,100%,20211201
metal paraguayo,"rgb(221, 80, 70)",8807px,234px,100%,20211201
seattle metal,"rgb(211, 87, 98)",9114px,177px,100%,20211201
japanese traditional,"rgb(72, 139, 135)",17564px,606px,100%,20211201
8d,"rgb(87, 116, 171)",14155px,305px,101%,20211201
hangpan,"rgb(70, 168, 193)",15423px,835px,100%,20211201
indie catracho,"rgb(154, 141, 67)",7249px,785px,100%,20211201
experimental house,"rgb(173, 140, 183)",2035px,1089px,100%,20211201
belarusian electronic,"rgb(191, 140, 181)",1048px,1094px,100%,20211201
organic ambient,"rgb(111, 152, 166)",10657px,461px,100%,20211201
slushwave,"rgb(138, 129, 181)",10240px,378px,100%,20211201
lithuanian electronic,"rgb(163, 145, 175)",1895px,1134px,102%,20211201
pet calming,"rgb(36, 163, 200)",17947px,328px,102%,20211201
leipzig indie,"rgb(149, 139, 79)",6040px,787px,100%,20211201
canadian electronic,"rgb(191, 132, 110)",2019px,1003px,103%,20211201
norwegian space disco,"rgb(171, 141, 176)",1757px,1130px,100%,20211201
dutch experimental,"rgb(87, 125, 174)",14102px,356px,100%,20211201
hauntology,"rgb(111, 134, 170)",12514px,420px,101%,20211201
taiko,"rgb(118, 126, 186)",13573px,1043px,100%,20211201
fnf,"rgb(160, 138, 133)",5529px,692px,102%,20211201
indie emo,"rgb(178, 120, 72)",6929px,598px,100%,20211201
danish electronic,"rgb(189, 132, 116)",1626px,1035px,102%,20211201
salzburg indie,"rgb(162, 138, 56)",5689px,692px,100%,20211201
cinematic dubstep,"rgb(171, 137, 153)",2373px,1098px,100%,20211201
moog,"rgb(98, 139, 166)",14234px,548px,100%,20211201
kazakh traditional,"rgb(105, 152, 127)",13770px,844px,100%,20211201
korean soundtrack,"rgb(88, 157, 189)",12674px,394px,100%,20211201
weirdcore,"rgb(128, 147, 132)",8420px,879px,104%,20211201
vintage french electronic,"rgb(126, 136, 116)",12540px,593px,101%,20211201
minimal dub,"rgb(186, 139, 214)",1310px,1100px,101%,20211201
french tech house,"rgb(193, 136, 185)",223px,1395px,101%,20211201
jazz,"rgb(80, 145, 99)",17577px,916px,106%,20211201
brazilian classical piano,"rgb(35, 166, 221)",20242px,689px,100%,20211201
slack-key guitar,"rgb(82, 168, 120)",15488px,798px,100%,20211201
israeli jazz,"rgb(93, 153, 167)",15899px,771px,100%,20211201
christian indie,"rgb(129, 147, 16)",11090px,442px,103%,20211201
irish fiddle,"rgb(94, 166, 97)",17194px,740px,100%,20211201
norwegian blues,"rgb(155, 130, 29)",11550px,737px,100%,20211201
memphis americana,"rgb(143, 136, 23)",11254px,701px,100%,20211201
sheffield indie,"rgb(167, 125, 29)",9970px,396px,105%,20211201
nordic orchestra,"rgb(43, 151, 148)",18634px,233px,100%,20211201
togolese pop,"rgb(179, 134, 11)",7653px,999px,100%,20211201
christian rock,"rgb(201, 111, 15)",3952px,343px,105%,20211201
dayton indie,"rgb(176, 119, 37)",9285px,396px,101%,20211201
firenze indie,"rgb(176, 125, 47)",8502px,499px,100%,20211201
washboard,"rgb(113, 132, 90)",16163px,1125px,100%,20211201
modern folk rock,"rgb(132, 142, 28)",12515px,521px,104%,20211201
north carolina roots,"rgb(114, 149, 26)",13745px,732px,101%,20211201
portuguese metal,"rgb(215, 85, 104)",6029px,222px,100%,20211201
dancehall guyanaise,"rgb(172, 146, 16)",8328px,1101px,100%,20211201
welsh choir,"rgb(57, 135, 39)",19309px,220px,100%,20211201
soul flow,"rgb(176, 125, 11)",8042px,926px,100%,20211201
philly rap,"rgb(176, 125, 5)",9825px,1048px,106%,20211201
sesotho pop,"rgb(164, 136, 12)",7098px,934px,100%,20211201
hjemmesnekk,"rgb(177, 134, 28)",3976px,1092px,100%,20211201
memphis hip hop,"rgb(166, 141, 5)",3010px,1137px,107%,20211201
folklore ecuatoriano,"rgb(108, 154, 32)",14234px,1137px,101%,20211201
indonesian alternative rock,"rgb(179, 119, 21)",8639px,410px,101%,20211201
italian gothic,"rgb(184, 123, 79)",5192px,290px,100%,20211201
brockton hip hop,"rgb(138, 146, 18)",10561px,1031px,100%,20211201
central asian hip hop,"rgb(164, 141, 9)",6029px,1057px,102%,20211201
classical piano duo,"rgb(27, 163, 219)",19573px,670px,100%,20211201
champeta,"rgb(202, 128, 5)",2789px,1083px,103%,20211201
tex-mex,"rgb(165, 140, 8)",10871px,1067px,102%,20211201
molam,"rgb(152, 137, 50)",9787px,858px,100%,20211201
luk thung,"rgb(153, 144, 3)",8272px,735px,100%,20211201
classical bass,"rgb(54, 144, 48)",19899px,414px,100%,20211201
viola,"rgb(35, 163, 141)",20022px,326px,100%,20211201
classical contralto,"rgb(47, 163, 27)",20242px,418px,100%,20211201
german singer-songwriter,"rgb(129, 147, 9)",10401px,771px,102%,20211201
texas blues,"rgb(99, 139, 38)",16560px,1022px,101%,20211201
euro hi-nrg,"rgb(220, 118, 57)",978px,914px,100%,20211201
singaporean punk,"rgb(219, 84, 47)",6626px,299px,100%,20211201
newfoundland indie,"rgb(128, 144, 22)",11587px,525px,100%,20211201
indian fusion,"rgb(156, 130, 55)",11352px,766px,101%,20211201
viola caipira,"rgb(118, 154, 52)",14558px,887px,100%,20211201
lund indie,"rgb(169, 126, 75)",9309px,370px,100%,20211201
telugu devotional,"rgb(142, 138, 13)",13941px,928px,100%,20211201
dutch punk,"rgb(222, 83, 33)",7640px,328px,100%,20211201
jacksonville indie,"rgb(129, 141, 39)",11437px,484px,101%,20211201
jazz colombiano,"rgb(119, 149, 74)",13095px,934px,100%,20211201
malayalam worship,"rgb(142, 150, 8)",8346px,800px,100%,20211201
trash rock,"rgb(217, 89, 46)",9575px,343px,100%,20211201
british orchestra,"rgb(54, 154, 168)",17483px,249px,101%,20211201
indonesian idol pop,"rgb(182, 128, 10)",3118px,604px,101%,20211201
rhode island rap,"rgb(153, 136, 6)",10206px,1005px,102%,20211201
pop quebecois,"rgb(146, 143, 13)",8625px,614px,102%,20211201
balikpapan indie,"rgb(183, 121, 28)",4612px,440px,100%,20211201
jazz cover,"rgb(97, 161, 10)",12503px,856px,102%,20211201
flick hop,"rgb(187, 113, 18)",8543px,934px,100%,20211201
beat italiano,"rgb(144, 134, 12)",11823px,492px,100%,20211201
rap mocambicana,"rgb(155, 145, 8)",10157px,1035px,100%,20211201
classic mandopop,"rgb(116, 152, 5)",12191px,532px,103%,20211201
comedy rock,"rgb(86, 148, 4)",14128px,1182px,101%,20211201
venda rap,"rgb(159, 148, 6)",6554px,1026px,100%,20211201
dub,"rgb(134, 145, 48)",5696px,1241px,103%,20211201
deep ragga,"rgb(151, 142, 5)",4850px,1213px,100%,20211201
spanish classical,"rgb(76, 151, 52)",18886px,646px,100%,20211201
hangoskonyvek,"rgb(51, 110, 11)",16163px,1253px,100%,20211201
polish early music,"rgb(35, 164, 87)",19850px,207px,100%,20211201
nightcore,"rgb(188, 128, 47)",4110px,747px,101%,20211201
michigan folk,"rgb(111, 151, 23)",12958px,735px,100%,20211201
alaska indie,"rgb(123, 146, 23)",12861px,620px,101%,20211201
historic string quartet,"rgb(37, 168, 134)",20167px,374px,100%,20211201
heavy gothic rock,"rgb(186, 119, 55)",5058px,331px,100%,20211201
bengali folk,"rgb(95, 151, 27)",17418px,732px,100%,20211201
musica portuguesa contemporanea,"rgb(105, 155, 29)",13033px,709px,100%,20211201
frauenrap,"rgb(145, 148, 16)",6681px,1154px,103%,20211201
spanish progressive rock,"rgb(176, 125, 112)",9334px,330px,100%,20211201
indie folk,"rgb(108, 151, 38)",13499px,566px,112%,20211201
eurobeat,"rgb(212, 120, 48)",1877px,576px,101%,20211201
psychedelic trance,"rgb(219, 130, 190)",700px,1078px,102%,20211201
laiko,"rgb(140, 143, 9)",12083px,768px,102%,20211201
nueva ola chilena,"rgb(118, 145, 13)",14373px,604px,101%,20211201
swancore,"rgb(220, 94, 46)",6102px,282px,101%,20211201
vintage country folk,"rgb(77, 148, 36)",19045px,1039px,100%,20211201
swansea indie,"rgb(165, 128, 29)",7886px,360px,100%,20211201
stomp and flutter,"rgb(108, 151, 41)",13278px,516px,101%,20211201
reunion pop,"rgb(171, 138, 19)",7372px,1056px,101%,20211201
tanci,"rgb(68, 126, 17)",20181px,1171px,100%,20211201
gothic alternative,"rgb(210, 107, 17)",4057px,324px,100%,20211201
ceske chvaly,"rgb(136, 148, 12)",9712px,617px,100%,20211201
pakistani pop,"rgb(142, 134, 25)",13720px,683px,102%,20211201
pop folk,"rgb(88, 162, 30)",13868px,555px,102%,20211201
argentine telepop,"rgb(165, 141, 7)",6168px,714px,103%,20211201
arpa paraguaya,"rgb(129, 148, 79)",14595px,914px,100%,20211201
vietnamese singer-songwriter,"rgb(116, 154, 7)",12527px,650px,101%,20211201
jota aragonesa,"rgb(81, 153, 51)",17361px,837px,100%,20211201
deep underground hip hop,"rgb(164, 139, 5)",8127px,1020px,104%,20211201
trot,"rgb(147, 148, 36)",8979px,525px,100%,20211201
german reggae,"rgb(165, 136, 13)",6318px,1114px,102%,20211201
shoegaze chileno,"rgb(177, 124, 120)",7125px,233px,100%,20211201
thai folk rock,"rgb(156, 140, 6)",6757px,701px,101%,20211201
rap paraense,"rgb(146, 144, 5)",9526px,1094px,100%,20211201
wagnerian singing,"rgb(56, 143, 25)",20366px,282px,100%,20211201
bomba y plena,"rgb(164, 128, 14)",13388px,1024px,100%,20211201
swedish choir,"rgb(32, 157, 60)",20082px,131px,100%,20211201
italian pop punk,"rgb(220, 103, 18)",2775px,311px,100%,20211201
russian choir,"rgb(41, 150, 79)",20193px,120px,100%,20211201
brazilian metal,"rgb(224, 77, 57)",8441px,255px,101%,20211201
black 'n' roll,"rgb(226, 59, 120)",8807px,113px,100%,20211201
new wave of glam metal,"rgb(220, 98, 14)",3740px,279px,100%,20211201
canadian pop punk,"rgb(224, 91, 17)",3885px,275px,103%,20211201
edinburgh metal,"rgb(212, 87, 113)",8710px,182px,100%,20211201
wisconsin metal,"rgb(230, 76, 85)",6429px,244px,100%,20211201
finnish hard rock,"rgb(215, 98, 23)",4480px,286px,101%,20211201
metal pernambucano,"rgb(221, 80, 83)",7444px,244px,100%,20211201
groove metal,"rgb(231, 74, 51)",8035px,275px,104%,20211201
danish hardcore,"rgb(233, 65, 113)",8391px,155px,100%,20211201
lowlands hardcore,"rgb(235, 71, 43)",9713px,245px,100%,20211201
finnish pop punk,"rgb(220, 98, 9)",5701px,339px,100%,20211201
symphonic black metal,"rgb(217, 76, 119)",7787px,113px,101%,20211201
polish classical,"rgb(26, 166, 219)",20287px,428px,102%,20211201
samba moderno,"rgb(166, 131, 3)",11972px,877px,102%,20211201
djent,"rgb(217, 91, 101)",5402px,240px,102%,20211201
colorado hardcore,"rgb(230, 74, 57)",8722px,244px,100%,20211201
texas pop punk,"rgb(214, 101, 12)",4031px,339px,102%,20211201
pagan black metal,"rgb(209, 66, 145)",9211px,73px,101%,20211201
serbian metal,"rgb(217, 86, 63)",7198px,211px,100%,20211201
psydub,"rgb(156, 150, 182)",2841px,934px,100%,20211201
indian edm,"rgb(190, 138, 109)",2213px,943px,102%,20211201
australian experimental,"rgb(108, 136, 167)",12354px,345px,100%,20211201
alphorn,"rgb(100, 163, 156)",14210px,536px,100%,20211201
chill beats,"rgb(136, 161, 183)",3685px,969px,101%,20211201
organic electronic,"rgb(160, 152, 180)",1718px,1238px,102%,20211201
dub techno,"rgb(138, 145, 206)",3397px,1024px,101%,20211201
baja indie,"rgb(158, 131, 90)",7198px,617px,100%,20211201
tibetan pop,"rgb(98, 159, 46)",13647px,566px,100%,20211201
plunderphonics,"rgb(156, 110, 94)",9164px,759px,100%,20211201
gothic doom,"rgb(183, 121, 97)",7517px,301px,100%,20211201
dance-punk,"rgb(196, 116, 65)",2683px,674px,103%,20211201
big beat,"rgb(186, 124, 114)",2290px,852px,104%,20211201
minimal wave,"rgb(167, 130, 110)",3675px,768px,100%,20211201
greek techno,"rgb(188, 141, 212)",898px,1189px,100%,20211201
japanese post-punk,"rgb(189, 106, 86)",6652px,499px,100%,20211201
polish electronica,"rgb(154, 143, 135)",4084px,771px,100%,20211201
bern indie,"rgb(151, 136, 60)",7149px,757px,100%,20211201
multidisciplinary,"rgb(138, 140, 92)",10411px,640px,100%,20211201
prepared piano,"rgb(82, 145, 160)",14757px,720px,100%,20211201
ukrainian folk,"rgb(178, 125, 20)",6457px,912px,100%,20211201
acid techno,"rgb(192, 138, 205)",1035px,1129px,100%,20211201
afroswing,"rgb(165, 143, 9)",9228px,1089px,104%,20211201
maluku pop,"rgb(146, 147, 8)",10476px,1100px,100%,20211201
thai folk pop,"rgb(142, 150, 4)",9115px,695px,101%,20211201
samba-jazz,"rgb(81, 154, 104)",17089px,861px,101%,20211201
czech singer-songwriter,"rgb(111, 147, 11)",14374px,811px,100%,20211201
lagu lampung,"rgb(182, 144, 33)",6652px,704px,100%,20211201
caucasian classical piano,"rgb(33, 163, 210)",20230px,518px,100%,20211201
mexican traditional,"rgb(125, 142, 17)",14423px,953px,100%,20211201
amharic pop,"rgb(173, 133, 8)",6257px,893px,100%,20211201
chicago blues,"rgb(119, 127, 29)",15820px,1007px,101%,20211201
peruvian metal,"rgb(211, 93, 88)",7713px,233px,100%,20211201
austin americana,"rgb(133, 142, 11)",11327px,686px,101%,20211201
deep german hip hop,"rgb(179, 132, 23)",9462px,1005px,106%,20211201
stoner metal,"rgb(197, 103, 98)",10289px,262px,103%,20211201
classic arab pop,"rgb(122, 137, 23)",14237px,591px,101%,20211201
trap italiana,"rgb(170, 148, 4)",5825px,988px,106%,20211201
cleveland indie,"rgb(181, 114, 54)",8947px,339px,100%,20211201
taiwan rock,"rgb(184, 120, 27)",4954px,414px,100%,20211201
malaysian mandopop,"rgb(132, 150, 4)",10280px,604px,101%,20211201
uzbek pop,"rgb(183, 131, 6)",5838px,877px,101%,20211201
boogie,"rgb(175, 120, 35)",2777px,1136px,100%,20211201
zim urban groove,"rgb(162, 139, 26)",11228px,941px,100%,20211201
turkce drill,"rgb(150, 154, 37)",4057px,1056px,102%,20211201
bomba,"rgb(185, 136, 27)",4665px,1130px,100%,20211201
punta,"rgb(190, 122, 16)",6542px,1041px,100%,20211201
swiss reggae,"rgb(163, 143, 30)",4945px,1157px,100%,20211201
japanese orchestra,"rgb(68, 144, 147)",17589px,240px,100%,20211201
krajiska muzika,"rgb(179, 120, 3)",10633px,637px,100%,20211201
colombian hip hop,"rgb(171, 131, 12)",7173px,1109px,102%,20211201
nordic contemporary classical,"rgb(29, 157, 120)",19536px,242px,100%,20211201
italian contemporary jazz,"rgb(75, 157, 135)",17697px,701px,100%,20211201
dizi,"rgb(61, 170, 71)",16216px,418px,100%,20211201
new orleans blues,"rgb(123, 128, 43)",14928px,908px,101%,20211201
shehnai,"rgb(131, 124, 184)",17432px,521px,100%,20211201
neo mellow,"rgb(143, 142, 8)",9575px,562px,116%,20211201
gay chorus,"rgb(67, 132, 47)",19124px,247px,100%,20211201
chinese classical piano,"rgb(34, 164, 207)",19948px,473px,100%,20211201
punk galego,"rgb(213, 99, 26)",6368px,454px,100%,20211201
cuban funk,"rgb(156, 123, 77)",13295px,1007px,100%,20211201
hardstyle,"rgb(233, 103, 44)",2510px,446px,102%,20211201
vintage jazz,"rgb(82, 134, 143)",18449px,1070px,100%,20211201
deep new americana,"rgb(136, 141, 18)",11995px,576px,104%,20211201
tagalog worship,"rgb(89, 157, 38)",13873px,410px,101%,20211201
australian country,"rgb(148, 142, 4)",9251px,722px,102%,20211201
mississippi indie,"rgb(164, 129, 33)",10167px,422px,100%,20211201
native american spiritual,"rgb(76, 159, 30)",13364px,982px,100%,20211201
ccm,"rgb(156, 138, 14)",6799px,356px,109%,20211201
boston hardcore,"rgb(227, 71, 59)",10362px,255px,100%,20211201
nightrun,"rgb(202, 121, 52)",2498px,362px,101%,20211201
kannada pop,"rgb(150, 141, 4)",10231px,885px,100%,20211201
acoustic guitar cover,"rgb(97, 172, 200)",13978px,996px,101%,20211201
moorish traditional,"rgb(126, 130, 43)",13220px,941px,100%,20211201
kurdish pop,"rgb(158, 133, 8)",10724px,761px,101%,20211201
latin arena pop,"rgb(174, 136, 4)",5975px,677px,112%,20211201
reggae fusion,"rgb(178, 134, 5)",9000px,1094px,106%,20211201
paisley underground,"rgb(170, 121, 29)",9921px,430px,101%,20211201
musica istmena,"rgb(163, 141, 17)",10846px,1098px,100%,20211201
atl trap,"rgb(148, 153, 4)",4018px,1134px,106%,20211201
canadian shoegaze,"rgb(162, 127, 132)",8108px,180px,100%,20211201
perreo,"rgb(195, 136, 8)",2841px,1217px,106%,20211201
brega funk,"rgb(188, 138, 4)",4137px,1270px,102%,20211201
indian classical,"rgb(119, 138, 68)",17168px,689px,101%,20211201
hindi worship,"rgb(133, 147, 21)",10387px,555px,100%,20211201
j-division,"rgb(200, 117, 27)",3673px,532px,102%,20211201
a3,"rgb(213, 109, 58)",3793px,418px,100%,20211201
benga,"rgb(166, 132, 14)",8740px,982px,100%,20211201
japanese blues,"rgb(166, 122, 26)",11266px,701px,100%,20211201
traditional blues,"rgb(95, 137, 33)",17312px,1045px,102%,20211201
family gospel,"rgb(119, 145, 10)",12788px,555px,100%,20211201
forro gospel,"rgb(191, 133, 7)",7061px,891px,100%,20211201
smutny rap,"rgb(153, 149, 5)",6518px,939px,101%,20211201
forro,"rgb(191, 134, 5)",7955px,941px,108%,20211201
country,"rgb(130, 139, 9)",11413px,714px,116%,20211201
oxford choir,"rgb(53, 157, 58)",19520px,154px,100%,20211201
greek drill,"rgb(159, 148, 22)",6941px,1087px,101%,20211201
rap gaucho,"rgb(168, 134, 4)",9401px,1061px,100%,20211201
nashville hip hop,"rgb(162, 136, 5)",6493px,1043px,102%,20211201
king of prism,"rgb(221, 111, 69)",2075px,412px,100%,20211201
salsa colombiana,"rgb(191, 143, 8)",8641px,1130px,103%,20211201
cueca chilena,"rgb(156, 130, 2)",11985px,768px,100%,20211201
melodic thrash,"rgb(232, 76, 61)",7419px,242px,102%,20211201
progressive deathcore,"rgb(235, 70, 102)",5217px,202px,101%,20211201
power metal,"rgb(215, 93, 36)",5439px,222px,106%,20211201
corridos tumbados,"rgb(162, 142, 1)",11772px,1016px,109%,20211201
metal cearense,"rgb(235, 56, 70)",9065px,171px,100%,20211201
irish black metal,"rgb(200, 80, 128)",9697px,82px,100%,20211201
colombian hardcore,"rgb(231, 80, 36)",7395px,301px,100%,20211201
disney horspiele,"rgb(153, 93, 0)",15556px,1157px,102%,20211201
neo-trad metal,"rgb(224, 84, 32)",5205px,224px,101%,20211201
easycore,"rgb(226, 91, 10)",3449px,271px,101%,20211201
cascadian black metal,"rgb(177, 92, 180)",10521px,49px,100%,20211201
russian metalcore,"rgb(231, 89, 50)",4131px,240px,101%,20211201
